description;wnid
element of a cylinder;n13877667
helix angle;n13877785
kink;n13877918
twist;n13877918
twirl;n13877918
whirl;n13878112
swirl;n13878112
vortex;n13878112
convolution;n13878112
ellipse;n13878306
oval;n13878306
square;n13878634
foursquare;n13878634
square;n13878951
quadrate;n13879049
quadrilateral;n13879126
quadrangle;n13879126
tetragon;n13879126
triangle;n13879320
trigon;n13879320
trilateral;n13879320
triangle;n13879634
acute triangle;n13879816
acute-angled triangle;n13879816
equilateral triangle;n13879947
equiangular triangle;n13879947
delta;n13880102
isosceles triangle;n13880199
oblique triangle;n13880295
obtuse triangle;n13880415
obtuse-angled triangle;n13880415
right triangle;n13880551
right-angled triangle;n13880551
scalene triangle;n13880704
hexagram;n13880811
parallel;n13880994
parallelogram;n13881175
trapezium;n13881381
trapezoid;n13881512
star;n13881644
asterism;n13881810
pentacle;n13882008
pentagram;n13882008
pentangle;n13882008
pentagon;n13882201
hexagon;n13882276
regular hexagon;n13882385
heptagon;n13882487
octagon;n13882563
nonagon;n13882639
decagon;n13882713
undecagon;n13882804
dodecagon;n13882883
rhombus;n13882961
rhomb;n13882961
diamond;n13882961
rhomboid;n13883133
rectangle;n13883346
box;n13883494
spherical polygon;n13883603
spherical triangle;n13883763
polyhedron;n13883885
convex polyhedron;n13884261
concave polyhedron;n13884384
prism;n13884511
parallelepiped;n13884740
parallelopiped;n13884740
parallelepipedon;n13884740
parallelopipedon;n13884740
cuboid;n13884930
quadrangular prism;n13885011
triangular prism;n13885111
sinuosity;n13885207
sinuousness;n13885207
tortuosity;n13885370
tortuousness;n13885370
torsion;n13885370
contortion;n13885370
crookedness;n13885370
warp;n13885700
buckle;n13885700
knot;n13885836
gnarl;n13885836
arch;n13886133
bell;n13886260
bell shape;n13886260
campana;n13886260
parabola;n13886371
hyperbola;n13886575
furcation;n13886724
forking;n13886724
bifurcation;n13886910
bifurcation;n13887056
jog;n13887211
zigzag;n13887319
zig;n13887319
zag;n13887319
angle;n13887509
complementary angles;n13888387
angular distance;n13888491
hour angle;n13888783
ha;n13888783
true anomaly;n13889066
plane angle;n13889216
spherical angle;n13889331
solid angle;n13889461
inclination;n13889602
angle of inclination;n13889602
inclination;n13889843
inclination of an orbit;n13889843
reentrant angle;n13890064
reentering angle;n13890064
salient angle;n13890226
interior angle;n13890391
internal angle;n13890391
exterior angle;n13890535
external angle;n13890535
hip;n13890679
angle of incidence;n13890869
incidence angle;n13890869
angle of attack;n13891082
critical angle;n13891242
angle of reflection;n13891371
angle of refraction;n13891547
angle of extinction;n13891735
extinction angle;n13891735
acute angle;n13891937
obtuse angle;n13892048
dogleg;n13892142
right angle;n13892237
oblique angle;n13892383
reflex angle;n13892562
perigon;n13892674
round angle;n13892674
cutting angle;n13892765
dip;n13892897
angle of dip;n13892897
magnetic dip;n13892897
magnetic inclination;n13892897
inclination;n13892897
lead;n13893129
magnetic declination;n13893310
magnetic variation;n13893310
variation;n13893310
azimuth;n13893502
az;n13893502
bowl;n13893694
trough;n13893694
groove;n13893786
channel;n13893786
rut;n13894154
scoop;n13894306
pocket;n13894306
bulge;n13894434
bump;n13894434
hump;n13894434
swelling;n13894434
gibbosity;n13894434
gibbousness;n13894434
jut;n13894434
prominence;n13894434
protuberance;n13894434
protrusion;n13894434
extrusion;n13894434
excrescence;n13894434
belly;n13895262
caput;n13895362
mogul;n13895549
nub;n13895622
nubble;n13895622
snag;n13895745
wart;n13895852
node;n13895986
knob;n13895986
thickening;n13895986
bow;n13896100
arc;n13896100
crescent;n13896217
depression;n13896369
impression;n13896369
imprint;n13896369
dimple;n13896695
hyperboloid;n13896854
paraboloid;n13897002
ellipsoid;n13897198
flank;n13897377
hypotenuse;n13897528
altitude;n13897657
base;n13897837
balance;n13897996
equilibrium;n13897996
equipoise;n13897996
counterbalance;n13897996
conformation;n13898207
symmetry;n13898315
proportion;n13898315
disproportion;n13898509
spheroid;n13898645
ellipsoid of revolution;n13898645
sphere;n13898899
hemisphere;n13899109
sphere;n13899200
ball;n13899404
globe;n13899404
orb;n13899404
spherule;n13899735
cylinder;n13899804
torus;n13900088
toroid;n13900088
toroid;n13900287
column;n13900422
tower;n13900422
pillar;n13900422
plume;n13900760
columella;n13900914
hoodoo;n13901055
barrel;n13901211
drum;n13901211
pipe;n13901321
tube;n13901321
pellet;n13901423
bolus;n13901490
drop;n13901585
bead;n13901585
pearl;n13901585
dewdrop;n13901858
teardrop;n13901925
ridge;n13902048
corrugation;n13902229
rim;n13902336
point;n13902482
tip;n13902482
peak;n13902482
taper;n13902793
quadric;n13902905
quadric surface;n13902905
boundary;n13903079
edge;n13903079
bound;n13903079
margin;n13903387
border;n13903387
perimeter;n13903387
periphery;n13903576
fringe;n13903576
outer boundary;n13903576
brink;n13903738
threshold;n13903738
verge;n13903738
upper bound;n13903855
lower bound;n13904011
diagonal;n13904164
bias;n13904164
diagonal;n13904325
dip;n13904506
cup;n13904665
incision;n13904843
scratch;n13904843
prick;n13904843
slit;n13904843
dent;n13904843
incisure;n13905121
incisura;n13905121
notch;n13905275
score;n13905405
scotch;n13905405
sag;n13905572
droop;n13905572
wrinkle;n13905792
furrow;n13905792
crease;n13905792
crinkle;n13905792
seam;n13905792
line;n13905792
crow's foot;n13906345
crow's feet;n13906345
laugh line;n13906345
dermatoglyphic;n13906484
frown line;n13906669
line of life;n13906767
life line;n13906767
lifeline;n13906767
line of heart;n13906936
heart line;n13906936
love line;n13906936
mensal line;n13906936
line of fate;n13907104
line of destiny;n13907104
line of saturn;n13907104
crevice;n13907272
cranny;n13907272
crack;n13907272
fissure;n13907272
chap;n13907272
fold;n13907415
crease;n13907415
plication;n13907415
flexure;n13907415
crimp;n13907415
bend;n13907415
pucker;n13907847
ruck;n13907847
indentation;n13908021
indenture;n13908021
cleft;n13908201
stria;n13908348
striation;n13908348
roulette;n13908580
line roulette;n13908580
cycloid;n13908777
curate cycloid;n13908954
prolate cycloid;n13909071
sine curve;n13909190
sinusoid;n13909190
epicycle;n13909296
epicycloid;n13909488
cardioid;n13909632
hypocycloid;n13909752
shapelessness;n13909889
blob;n13910019
void;n13910116
vacancy;n13910116
emptiness;n13910116
vacuum;n13910116
space;n13910384
hollow;n13910895
node;n13911045
articulation;n13911151
join;n13911151
joint;n13911151
juncture;n13911151
junction;n13911151
hole;n13911429
cavity;n13911517
enclosed space;n13911517
pocket;n13911660
point;n13911872
dot;n13911872
pore;n13912115
tree;n13912260
tree diagram;n13912260
cladogram;n13912424
stemma;n13912540
thalweg;n13912686
spur;n13912839
spine;n13912839
acantha;n13912839
constriction;n13912992
bottleneck;n13912992
chokepoint;n13912992
facet;n13913164
vector;n13913263
ray;n13913427
cast;n13913566
mold;n13913566
mould;n13913566
stamp;n13913566
branch;n13913849
leg;n13913849
ramification;n13913849
brachium;n13914141
fork;n13914265
crotch;n13914265
pouch;n13914473
sac;n13914473
sack;n13914473
pocket;n13914473
block;n13914608
cube;n13914608
pyramid;n13914837
ovoid;n13915023
tetrahedron;n13915113
pentahedron;n13915209
hexahedron;n13915305
rhombohedron;n13915417
octahedron;n13915594
decahedron;n13915690
dodecahedron;n13915784
icosahedron;n13915883
regular polyhedron;n13915999
regular convex solid;n13915999
regular convex polyhedron;n13915999
platonic body;n13915999
platonic solid;n13915999
ideal solid;n13915999
polyhedral angle;n13916363
face angle;n13916495
regular tetrahedron;n13916603
cube;n13916721
regular hexahedron;n13916721
tesseract;n13916927
quadrate;n13917022
regular dodecahedron;n13917094
regular octahedron;n13917214
regular icosahedron;n13917334
frustum;n13917457
truncated pyramid;n13917690
truncated cone;n13917785
prismatoid;n13917874
prismoid;n13918095
tail;n13918274
tail end;n13918274
tongue;n13918387
knife;n13918387
tilt angle;n13918584
trapezohedron;n13918717
vertical angle;n13918816
verticil;n13918965
view angle;n13919059
angle of view;n13919059
washout;n13919173
wave angle;n13919394
wedge;n13919547
wedge shape;n13919547
cuneus;n13919547
projection;n13919685
keel;n13919919
cleavage;n13920012
medium;n13920169
ornamentation;n13920322
condition;n13920429
condition;n13920835
status;n13920835
conditions;n13923030
conditions;n13923219
condition;n13923440
anchorage;n13923582
health;n13923779
mode;n13923929
conditionality;n13924069
ground state;n13924196
niche;n13924336
ecological niche;n13924336
noise conditions;n13924536
participation;n13924659
involvement;n13924659
prepossession;n13924863
regularization;n13925015
regularisation;n13925015
saturation;n13925188
saturation point;n13925340
silence;n13925550
situation;n13925752
position;n13925752
ski conditions;n13926068
niche;n13926168
election;n13926329
nationhood;n13926451
nomination;n13926535
place;n13926786
shoes;n13926786
poverty trap;n13926932
soup;n13927112
stymie;n13927231
stymy;n13927231
situation;n13927383
state of affairs;n13927383
absurd;n13928191
the absurd;n13928191
relationship;n13928388
relationship;n13928668
tribalism;n13928943
account;n13929037
business relationship;n13929037
short account;n13929336
blood brotherhood;n13929477
company;n13929588
companionship;n13929588
fellowship;n13929588
society;n13929588
confidence;n13929852
trust;n13929852
freemasonry;n13930073
acquaintance;n13930245
acquaintanceship;n13930245
affiliation;n13930385
association;n13930385
tie;n13930385
tie-up;n13930385
anaclisis;n13930725
assimilation;n13930928
friendship;n13931145
friendly relationship;n13931145
intrigue;n13931356
love affair;n13931436
romance;n13931436
membership;n13931627
sexual relationship;n13931765
affair;n13931889
affaire;n13931889
intimacy;n13931889
liaison;n13931889
involvement;n13931889
amour;n13931889
utopia;n13932045
dystopia;n13932213
acceptance;n13932421
ballgame;n13932739
new ballgame;n13932739
challenge;n13932948
childlessness;n13933103
complication;n13933221
conflict of interest;n13933391
crisis;n13933560
crowding;n13933841
crunch;n13934070
disequilibrium;n13934274
element;n13934465
environment;n13934596
equilibrium;n13934900
exclusion;n13935227
goldfish bowl;n13935400
fish bowl;n13935400
fishbowl;n13935400
hornet's nest;n13935572
hornets' nest;n13935572
hotbed;n13935753
hot potato;n13935910
how-do-you-do;n13936030
how-d'ye-do;n13936030
imbroglio;n13936153
embroilment;n13936153
inclusion;n13936304
intestacy;n13936441
mexican standoff;n13936557
nightmare;n13936676
incubus;n13936676
no-win situation;n13936783
pass;n13936939
strait;n13936939
straits;n13936939
picture;n13937075
scene;n13937075
prison;n13937284
prison house;n13937284
purgatory;n13937406
rejection;n13937554
size;n13937727
size of it;n13937727
square one;n13937918
status quo;n13938210
swamp;n13938296
standardization;n13938440
standardisation;n13938440
stigmatism;n13938663
astigmatism;n13938899
astigmia;n13938899
stratification;n13939158
social stratification;n13939158
wild;n13939353
natural state;n13939353
state of nature;n13939353
way;n13939604
isomerism;n13939734
degree;n13939892
level;n13939892
stage;n13939892
point;n13939892
ladder;n13940311
acme;n13940456
height;n13940456
elevation;n13940456
peak;n13940456
pinnacle;n13940456
summit;n13940456
superlative;n13940456
meridian;n13940456
tiptop;n13940456
top;n13940456
extent;n13941125
resultant;n13941337
end point;n13941337
standard of living;n13941469
standard of life;n13941469
plane;n13941806
state of the art;n13941924
ultimacy;n13942104
ultimateness;n13942104
extremity;n13942405
profoundness;n13942554
ordinary;n13942743
circumstance;n13942875
homelessness;n13943053
vagrancy;n13943236
event;n13943400
case;n13943400
hinge;n13943598
playing field;n13943740
thing;n13943968
time bomb;n13944096
ticking bomb;n13944096
tinderbox;n13944337
urgency;n13944516
congestion;n13944747
over-crowding;n13944747
reinstatement;n13944914
office;n13945102
power;n13945102
executive clemency;n13945495
war power;n13945682
status;n13945919
position;n13945919
equality;n13946760
equivalence;n13946760
equation;n13946760
par;n13946760
egality;n13947010
egalite;n13947010
tie;n13947174
deuce;n13947272
social station;n13947415
social status;n13947415
social rank;n13947415
rank;n13947415
place;n13947645
station;n13947645
place;n13947867
quality;n13948026
standing;n13948136
high status;n13948441
center stage;n13948654
centre stage;n13948654
stardom;n13948766
championship;n13948912
title;n13948912
triple crown;n13949080
triple crown;n13949275
high ground;n13949463
seniority;n13949576
senior status;n13949576
higher status;n13949576
higher rank;n13949576
precedence;n13949802
precedency;n13949802
priority;n13949802
back burner;n13950143
front burner;n13950282
transcendence;n13950440
transcendency;n13950440
superiority;n13950440
high profile;n13950703
holy order;n13950812
order;n13950812
low status;n13951215
lowness;n13951215
lowliness;n13951215
inferiority;n13951444
lower status;n13951444
lower rank;n13951444
backseat;n13951629
shade;n13951794
subordinateness;n13951984
subsidiarity;n13951984
handmaid;n13952171
handmaiden;n13952171
servant;n13952171
junior status;n13952386
subservience;n13952466
subservientness;n13952466
legal status;n13952601
civil death;n13952792
villeinage;n13953057
villainage;n13953057
bastardy;n13953215
illegitimacy;n13953215
bar sinister;n13953215
left-handedness;n13953356
citizenship;n13953467
command;n13953608
nationality;n13953787
footing;n13953936
terms;n13953936
retirement;n13954118
being;n13954253
beingness;n13954253
existence;n13954253
actuality;n13954818
entelechy;n13955152
genuineness;n13955341
reality;n13955461
realness;n13955461
realism;n13955461
fact;n13955874
reality;n13956097
historicalness;n13956362
truth;n13956488
the true;n13956488
verity;n13956488
trueness;n13956488
eternity;n13956905
timelessness;n13956905
timeless existence;n13956905
preexistence;n13957117
coexistence;n13957268
eternal life;n13957390
life eternal;n13957390
subsistence;n13957493
presence;n13957601
immanence;n13957974
immanency;n13957974
inherence;n13958138
inherency;n13958138
ubiety;n13958353
ubiquity;n13958456
ubiquitousness;n13958456
omnipresence;n13958456
hereness;n13958672
thereness;n13958800
thereness;n13958921
occurrence;n13959069
allopatry;n13959289
sympatry;n13959463
shadow;n13959642
nonbeing;n13959818
nonexistence;n13959931
nonentity;n13959931
unreality;n13960117
irreality;n13960117
cloud;n13960357
falsity;n13960464
falseness;n13960464
spuriousness;n13960833
absence;n13960974
nonoccurrence;n13961179
awayness;n13961273
life;n13961399
animation;n13961642
life;n13961642
living;n13961642
aliveness;n13961642
skin;n13962048
survival;n13962166
endurance;n13962166
subsistence;n13962360
death;n13962498
rest;n13962765
eternal rest;n13962765
sleep;n13962765
eternal sleep;n13962765
quietus;n13962765
extinction;n13963032
defunctness;n13963032
life;n13963192
ghetto;n13963342
transcendence;n13963565
transcendency;n13963565
marital status;n13963757
marriage;n13963970
matrimony;n13963970
union;n13963970
spousal relationship;n13963970
wedlock;n13963970
bigamy;n13964466
